languagerepresentation,length,time
Scala-Array, 16, 0.003211132
Scala-Array, 32, 0.0014815886999999999
Scala-Array, 64, 0.00145906685
Scala-Array, 128, 0.0014217443999999999
Scala-Array, 256, 0.00203569535
Scala-Array, 512, 0.0016998563500000001
Scala-Array, 1024, 0.001734099
Scala-Array, 2048, 0.00239826975
Scala-Array, 4096, 0.0021221682000000003
Scala-Array, 8192, 0.0028447292000000003
Scala-Array, 16384, 0.0023968153999999998
Scala-Array, 32768, 0.00205969315
Scala-Vector, 16, 0.01330112535
Scala-Vector, 32, 0.00928707675
Scala-Vector, 64, 0.0283969429
Scala-Vector, 128, 0.02578639425
Scala-Vector, 256, 0.01639922035
Scala-Vector, 512, 0.017126957100000003
Scala-Vector, 1024, 0.01619615975
Scala-Vector, 2048, 0.023007156
Scala-Vector, 4096, 0.02251843345
Scala-Vector, 8192, 0.0209233369
Scala-Vector, 16384, 0.0218942374
Scala-Vector, 32768, 0.0228057425
Java-BitSet, 16, 0.0032963428999999997
Java-BitSet, 32, 0.0022227787
Java-BitSet, 64, 0.00226356625
Java-BitSet, 128, 0.00236173855
Java-BitSet, 256, 0.0023126309
Java-BitSet, 512, 0.00250711485
Java-BitSet, 1024, 0.0021340601
Java-BitSet, 2048, 0.002151962
Java-BitSet, 4096, 0.002682499
Java-BitSet, 8192, 0.0021917017
Java-BitSet, 16384, 0.0021893489500000004
Java-BitSet, 32768, 0.0024344374
Scala-String, 16, 0.03586838825
Scala-String, 32, 0.039785697950000004
Scala-String, 64, 0.07590385865
Scala-String, 128, 0.14186064065
Scala-String, 256, 0.28284217955
Scala-String, 512, 0.549114161
Scala-String, 1024, 1.0904840044500002
Scala-String, 2048, 2.1559787349499997
Scala-String, 4096, 4.3240144592
Scala-String, 8192, 8.663200643200001
Scala-String, 16384, 17.5465176432
Scala-String, 32768, 34.817065487099995
